Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache;Validity
Rafz;8197;00;Eglisau;55;ZH;8.541636227917143;47.59116463049643;de;2008-07-01
Embrach;8424;00;Embrach;56;ZH;8.59959942428601;47.51005354544071;de;2008-07-01
Freienstein;8427;02;Freienstein-Teufen;57;ZH;8.596010573919898;47.53250053780222;de;2008-07-01
Teufen ZH;8428;00;Freienstein-Teufen;57;ZH;8.573868113000707;47.55154164656829;de;2008-07-01
Bülach;8180;00;Glattfelden;58;ZH;8.528453638201153;47.55199801652291;de;2008-07-01
Glattfelden;8192;00;Glattfelden;58;ZH;8.502318141242121;47.555370252714994;de;2008-07-01
Zweidlen;8192;01;Glattfelden;58;ZH;8.475132509352425;47.56865758738629;de;2008-07-01
Eglisau;8193;00;Glattfelden;58;ZH;8.495676842103242;47.57888385777604;de;2008-07-01
Hochfelden;8182;00;Hochfelden;59;ZH;8.508463863243964;47.52803892058873;de;2008-07-01
Glattfelden;8192;00;Hochfelden;59;ZH;8.499386932789267;47.539394231953224;de;2008-07-01
Höri;8181;00;Höri;60;ZH;8.500889987754803;47.508036645662;de;2008-07-01
Hüntwangen;8194;00;Hüntwangen;61;ZH;8.498233472162834;47.593042358685295;de;2008-07-01
Kloten;8302;00;Kloten;62;ZH;8.582091155554856;47.45875672062381;de;2008-07-01
Nürensdorf;8309;00;Kloten;62;ZH;8.627824346633957;47.46318655177957;de;2008-07-01
Lufingen;8426;00;Lufingen;63;ZH;8.594760718780204;47.481803313134094;de;2008-07-01
Nürensdorf;8309;00;Nürensdorf;64;ZH;8.65121919431624;47.45497197045805;de;2008-07-01
Oberembrach;8425;00;Oberembrach;65;ZH;8.633535285877903;47.489572768363345;de;2008-07-01
Zürich;8052;00;Opfikon;66;ZH;8.56201847395461;47.41744129415096;de;2008-07-01
Glattbrugg;8152;00;Opfikon;66;ZH;8.562290912654118;47.43257737356241;de;2008-07-01
Opfikon;8152;01;Opfikon;66;ZH;8.582781547057692;47.429507447839626;de;2008-07-01
Glattpark (Opfikon);8152;02;Opfikon;66;ZH;8.563608836809998;47.420834583012656;de;2008-07-01
Rafz;8197;00;Rafz;67;ZH;8.54479436859155;47.60824872047481;de;2008-07-01
Rorbas;8427;03;Rorbas;68;ZH;8.569017300830165;47.53234251028454;de;2008-07-01
Teufen ZH;8428;00;Rorbas;68;ZH;8.56967853914894;47.543211572563024;de;2008-07-01
Wallisellen;8304;00;Wallisellen;69;ZH;8.596275289431981;47.42120835767002;de;2008-07-01
Wasterkingen;8195;00;Wasterkingen;70;ZH;8.471969517554227;47.59653371596208;de;2008-07-01
Wil ZH;8196;00;Wasterkingen;70;ZH;8.47831836183531;47.607839845305755;de;2008-07-01
Wil ZH;8196;00;Wil (ZH);71;ZH;8.501493934490737;47.61217952171827;de;2008-07-01
Rafz;8197;00;Wil (ZH);71;ZH;8.536014125723984;47.59272753569313;de;2008-07-01
Bülach;8180;00;Winkel;72;ZH;8.56796055495089;47.507033169514884;de;2008-07-01
Winkel;8185;00;Winkel;72;ZH;8.558279067135855;47.482065410835595;de;2008-07-01
Bachs;8164;00;Bachs;81;ZH;8.425734543103642;47.528764061212996;de;2008-07-01
Boppelsen;8113;00;Boppelsen;82;ZH;8.407193997177004;47.4699436098151;de;2008-07-01
Regensberg;8158;00;Boppelsen;82;ZH;8.402681006738563;47.48150123317514;de;2008-07-01
Buchs ZH;8107;00;Buchs (ZH);83;ZH;8.440635794627989;47.458666739076776;de;2008-07-01
Dällikon;8108;00;Dällikon;84;ZH;8.432374752345897;47.43900370926159;de;2008-07-01
Dänikon ZH;8114;00;Dänikon;85;ZH;8.40472268032354;47.44435460677628;de;2008-07-01
Dielsdorf;8157;00;Dielsdorf;86;ZH;8.455192104024537;47.475632242736715;de;2008-07-01
Hüttikon;8115;00;Hüttikon;87;ZH;8.392296033227511;47.441101683380886;de;2008-07-01
Steinmaur;8162;00;Neerach;88;ZH;8.456907336762445;47.510834604578754;de;2008-07-01
Bachs;8164;00;Neerach;88;ZH;8.461177225015113;47.51386685010993;de;2008-07-01
Neerach;8173;00;Neerach;88;ZH;8.475461451585206;47.506502388777946;de;2008-07-01
Stadel b. Niederglatt;8174;00;Neerach;88;ZH;8.473982406602094;47.52090894995305;de;2008-07-01
Niederhasli;8155;00;Niederglatt;89;ZH;8.480345881895644;47.49126852063814;de;2008-07-01
Niederglatt ZH;8172;00;Niederglatt;89;ZH;8.500823099000199;47.4919298126973;de;2008-07-01
Niederhasli;8155;00;Niederhasli;90;ZH;8.486615493571128;47.47667576170534;de;2008-07-01
Nassenwil;8155;01;Niederhasli;90;ZH;8.471015667307379;47.46745318957136;de;2012-11-01
Oberhasli;8156;00;Niederhasli;90;ZH;8.49928366402355;47.46063587720143;de;2008-07-01
Niederweningen;8166;00;Niederweningen;91;ZH;8.374606054981166;47.49688958869887;de;2008-07-01
Oberglatt ZH;8154;00;Oberglatt;92;ZH;8.524915084376122;47.480362224286104;de;2008-07-01
Siglistorf;5462;00;Oberweningen;93;ZH;8.400753676698693;47.52759892794146;de;2008-07-01
Oberweningen;8165;02;Oberweningen;93;ZH;8.405782409245587;47.50402396939114;de;2008-07-01
Buchs ZH;8107;00;Otelfingen;94;ZH;8.413565967622194;47.45559055293287;de;2008-07-01
Otelfingen;8112;00;Otelfingen;94;ZH;8.384998355735581;47.46575050809186;de;2008-07-01
Regensberg;8158;00;Regensberg;95;ZH;8.422876430841253;47.475672065374184;de;2008-07-01
Regensdorf;8105;00;Regensdorf;96;ZH;8.465826285700164;47.431937917822125;de;2008-07-01
Watt;8105;02;Regensdorf;96;ZH;8.485664012632004;47.44423327200192;de;2008-07-01
Adlikon b. Regensdorf;8106;02;Regensdorf;96;ZH;8.45900280493849;47.45240177245152;de;2008-07-01
Zürich;8052;00;Rümlang;97;ZH;8.540725263062455;47.43260378169158;de;2008-07-01
Glattbrugg;8152;00;Rümlang;97;ZH;8.554663155253;47.43353876609442;de;2008-07-01
Rümlang;8153;00;Rümlang;97;ZH;8.528301567537905;47.44846392427101;de;2008-07-01
Schleinikon;8165;03;Schleinikon;98;ZH;8.391127267986768;47.494360245204156;de;2008-07-01
Schöfflisdorf;8165;00;Schöfflisdorf;99;ZH;8.420413812664693;47.49958238993347;de;2008-07-01
Stadel b. Niederglatt;8174;00;Stadel;100;ZH;8.469859656764713;47.526991176891904;de;2008-07-01
Windlach;8175;00;Stadel;100;ZH;8.474257205723635;47.54779584562124;de;2008-07-01
Niederhasli;8155;00;Steinmaur;101;ZH;8.474590065392073;47.49139222522788;de;2008-07-01
Steinmaur;8162;00;Steinmaur;101;ZH;8.446954293097336;47.49956675494888;de;2008-07-01
Sünikon;8162;01;Steinmaur;101;ZH;8.427142750156492;47.48805704985372;de;2011-05-01
Weiach;8187;00;Weiach;102;ZH;8.441509116039041;47.553518873976266;de;2008-07-01
Hinwil;8340;00;Bäretswil;111;ZH;8.851503983066536;47.32318064652433;de;2008-07-01
Bäretswil;8344;00;Bäretswil;111;ZH;8.873942049432216;47.33611832056575;de;2008-07-01
Adetswil;8345;00;Bäretswil;111;ZH;8.836701805158404;47.342564145492744;de;2008-07-01
Gibswil;8498;00;Bäretswil;111;ZH;8.908900149111165;47.320251328137694;de;2012-05-01
Bubikon;8608;00;Bubikon;112;ZH;8.810813148798093;47.274663977212626;de;2008-07-01
Wolfhausen;8633;00;Bubikon;112;ZH;8.798031380491205;47.258435008306115;de;2008-07-01
Hinwil;8340;00;Dürnten;113;ZH;8.851012312857593;47.2839140587108;de;2008-07-01
Bubikon;8608;00;Dürnten;113;ZH;8.82994839749881;47.267504115326425;de;2008-07-01
Rüti ZH;8630;00;Dürnten;113;ZH;8.854275814734164;47.26384865215697;de;2008-07-01
Tann;8632;00;Dürnten;113;ZH;8.849182802386194;47.268232056793394;de;2008-07-01
Dürnten;8635;00;Dürnten;113;ZH;8.873968872090611;47.274899472332685;de;2008-07-01
Wald ZH;8636;00;Dürnten;113;ZH;8.890258641032379;47.271179779317464;de;2008-07-01
Hinwil;8340;00;Fischenthal;114;ZH;8.89128631673596;47.31463510672658;de;2008-07-01
Bauma;8494;00;Fischenthal;114;ZH;8.92114061310771;47.359688751674035;de;2008-07-01
Steg im Tösstal;8496;00;Fischenthal;114;ZH;8.946241427803656;47.34409484169736;de;2008-07-01
Fischenthal;8497;00;Fischenthal;114;ZH;8.925077252303133;47.33286698876926;de;2008-07-01
Gibswil;8498;00;Fischenthal;114;ZH;8.906843198331856;47.31621916967282;de;2012-05-01
Bertschikon (Gossau ZH);8614;00;Gossau (ZH);115;ZH;8.757023393621482;47.32078089019664;de;2008-07-01
Mönchaltorf;8617;00;Gossau (ZH);115;ZH;8.7355749203494;47.30959554427936;de;2008-07-01
Grüt (Gossau ZH);8624;00;Gossau (ZH);115;ZH;8.782125461037541;47.308543937233516;de;2008-07-01
Gossau ZH;8625;00;Gossau (ZH);115;ZH;8.757683985215474;47.30410472682469;de;2008-07-01
Ottikon (Gossau ZH);8626;00;Gossau (ZH);115;ZH;8.786015601721713;47.28934345428257;de;2008-07-01
Grüningen;8627;00;Gossau (ZH);115;ZH;8.73701162067661;47.28855174566581;de;2008-07-01
Grüningen;8627;00;Grüningen;116;ZH;8.762113623777843;47.27876515630844;de;2008-07-01
Hinwil;8340;00;Hinwil;117;ZH;8.850426002915663;47.30291401823256;de;2008-07-01
Wernetshausen;8342;00;Hinwil;117;ZH;8.877708773104954;47.290589604297224;de;2008-07-01
Gibswil;8498;00;Hinwil;117;ZH;8.898619531885544;47.308712431743984;de;2012-05-01
Rüti ZH;8630;00;Rüti (ZH);118;ZH;8.860706042974996;47.25805090688649;de;2008-07-01
Wald ZH;8636;00;Rüti (ZH);118;ZH;8.903738127884301;47.267704929802036;de;2008-07-01
Aathal-Seegräben;8607;00;Seegräben;119;ZH;8.767359557120814;47.343095667270525;de;2008-07-01
Fischenthal;8497;00;Wald (ZH);120;ZH;8.932103896774874;47.31406671459694;de;2008-07-01
Wald ZH;8636;00;Wald (ZH);120;ZH;8.925873208098933;47.28343103722571;de;2008-07-01
Laupen ZH;8637;00;Wald (ZH);120;ZH;8.929785027611606;47.26684415358072;de;2008-07-01
Adetswil;8345;00;Wetzikon (ZH);121;ZH;8.830090605616247;47.33480864048701;de;2008-07-01
Wetzikon ZH;8620;00;Wetzikon (ZH);121;ZH;8.807465556617432;47.31917077665907;de;2008-07-01
Wetzikon ZH;8623;00;Wetzikon (ZH);121;ZH;8.821414806906569;47.332170101253446;de;2008-07-01
Zürich;8041;00;Adliswil;131;ZH;8.513269871931982;47.32233637571192;de;2008-07-01
Adliswil;8134;00;Adliswil;131;ZH;8.52185742534512;47.30790947554354;de;2008-07-01
Kilchberg ZH;8802;00;Kilchberg (ZH);135;ZH;8.54531427056429;47.32158525672887;de;2008-07-01
Rüschlikon;8803;00;Kilchberg (ZH);135;ZH;8.554338796356273;47.315462333284295;de;2008-07-01
Langnau am Albis;8135;00;Langnau am Albis;136;ZH;8.538851418543723;47.27587941691912;de;2008-07-01
Oberrieden;8942;00;Oberrieden;137;ZH;8.56920948495963;47.27285335199893;de;2008-07-01
